"malam","tanggal","waktu","rakaat","imam_id","nama_masjid","status","catatan"
"1","2026-02-18","19.30 WIB","11","93bc8453-6e7c-4950-8bce-fff64db5ce81","Masjid Al-Ikhlas","terjadwal","Jadwal malam 1 - Ust. Abad Badrussalam"
"2","2026-02-19","19.30 WIB","11","9683ee45-ad6a-4754-aeb1-c447903c7b5d","Masjid Al-Ikhlas","terjadwal","Jadwal malam 2 - Ust. Zaenal Abidin"
"3","2026-02-20","19.30 WIB","11","ad110833-b8c6-491f-b824-ddf2564e5edb","Masjid Al-Ikhlas","terjadwal","Jadwal malam 3 - Ust. Abdullah Fauzi"
"4","2026-02-21","19.30 WIB","11","c80a70a7-db80-411d-92cc-8035b7f4eb7b","Masjid Al-Ikhlas","terjadwal","Jadwal malam 4 - Ust. Iwan"
"5","2026-02-22","19.30 WIB","11","e638fac5-b17f-4830-bd93-0e57c5eba5fc","Masjid Al-Ikhlas","terjadwal","Jadwal malam 5 - Ust. Ruli Akbar"
"6","2026-02-23","19.30 WIB","11","699cdb7d-8996-47fd-8c03-b93d20d96238","Masjid Al-Ikhlas","terjadwal","Jadwal malam 6 - Ust. Ahmad Zuhdi"
"7","2026-02-24","19.30 WIB","11","93bc8453-6e7c-4950-8bce-fff64db5ce81","Masjid Al-Ikhlas","terjadwal","Jadwal malam 7 - Ust. Abad Badrussalam"
"8","2026-02-25","19.30 WIB","11","9683ee45-ad6a-4754-aeb1-c447903c7b5d","Masjid Al-Ikhlas","terjadwal","Jadwal malam 8 - Ust. Zaenal Abidin"
"9","2026-02-26","19.30 WIB","11","ad110833-b8c6-491f-b824-ddf2564e5edb","Masjid Al-Ikhlas","terjadwal","Jadwal malam 9 - Ust. Abdullah Fauzi"
"10","2026-02-27","19.30 WIB","11","c80a70a7-db80-411d-92cc-8035b7f4eb7b","Masjid Al-Ikhlas","terjadwal","Jadwal malam 10 - Ust. Iwan"
"11","2026-02-28","19.30 WIB","11","e638fac5-b17f-4830-bd93-0e57c5eba5fc","Masjid Al-Ikhlas","terjadwal","Jadwal malam 11 - Ust. Ruli Akbar"
"12","2026-03-01","19.30 WIB","11","699cdb7d-8996-47fd-8c03-b93d20d96238","Masjid Al-Ikhlas","terjadwal","Jadwal malam 12 - Ust. Ahmad Zuhdi"
"13","2026-03-02","19.30 WIB","11","93bc8453-6e7c-4950-8bce-fff64db5ce81","Masjid Al-Ikhlas","terjadwal","Jadwal malam 13 - Ust. Abad Badrussalam"
"14","2026-03-03","19.30 WIB","11","9683ee45-ad6a-4754-aeb1-c447903c7b5d","Masjid Al-Ikhlas","terjadwal","Jadwal malam 14 - Ust. Zaenal Abidin"
"15","2026-03-04","19.30 WIB","11","ad110833-b8c6-491f-b824-ddf2564e5edb","Masjid Al-Ikhlas","terjadwal","Jadwal malam 15 - Ust. Abdullah Fauzi"
"16","2026-03-05","19.30 WIB","11","c80a70a7-db80-411d-92cc-8035b7f4eb7b","Masjid Al-Ikhlas","terjadwal","Jadwal malam 16 - Ust. Iwan"
"17","2026-03-06","19.30 WIB","11","e638fac5-b17f-4830-bd93-0e57c5eba5fc","Masjid Al-Ikhlas","terjadwal","Jadwal malam 17 - Ust. Ruli Akbar"
"18","2026-03-07","19.30 WIB","11","699cdb7d-8996-47fd-8c03-b93d20d96238","Masjid Al-Ikhlas","terjadwal","Jadwal malam 18 - Ust. Ahmad Zuhdi"
"19","2026-03-08","19.30 WIB","11","93bc8453-6e7c-4950-8bce-fff64db5ce81","Masjid Al-Ikhlas","terjadwal","Jadwal malam 19 - Ust. Abad Badrussalam"
"20","2026-03-09","19.30 WIB","11","9683ee45-ad6a-4754-aeb1-c447903c7b5d","Masjid Al-Ikhlas","terjadwal","Jadwal malam 20 - Ust. Zaenal Abidin"
"21","2026-03-10","19.30 WIB","11","ad110833-b8c6-491f-b824-ddf2564e5edb","Masjid Al-Ikhlas","terjadwal","Jadwal malam 21 - Ust. Abdullah Fauzi"
"22","2026-03-11","19.30 WIB","11","c80a70a7-db80-411d-92cc-8035b7f4eb7b","Masjid Al-Ikhlas","terjadwal","Jadwal malam 22 - Ust. Iwan"
"23","2026-03-12","19.30 WIB","11","e638fac5-b17f-4830-bd93-0e57c5eba5fc","Masjid Al-Ikhlas","terjadwal","Jadwal malam 23 - Ust. Ruli Akbar"
"24","2026-03-13","19.30 WIB","11","699cdb7d-8996-47fd-8c03-b93d20d96238","Masjid Al-Ikhlas","terjadwal","Jadwal malam 24 - Ust. Ahmad Zuhdi"
"25","2026-03-14","19.30 WIB","11","93bc8453-6e7c-4950-8bce-fff64db5ce81","Masjid Al-Ikhlas","terjadwal","Jadwal malam 25 - Ust. Abad Badrussalam"
"26","2026-03-15","19.30 WIB","11","9683ee45-ad6a-4754-aeb1-c447903c7b5d","Masjid Al-Ikhlas","terjadwal","Jadwal malam 26 - Ust. Zaenal Abidin"
"27","2026-03-16","19.30 WIB","11","ad110833-b8c6-491f-b824-ddf2564e5edb","Masjid Al-Ikhlas","terjadwal","Jadwal malam 27 - Ust. Abdullah Fauzi"
"28","2026-03-17","19.30 WIB","11","c80a70a7-db80-411d-92cc-8035b7f4eb7b","Masjid Al-Ikhlas","terjadwal","Jadwal malam 28 - Ust. Iwan"
"29","2026-03-18","19.30 WIB","11","e638fac5-b17f-4830-bd93-0e57c5eba5fc","Masjid Al-Ikhlas","terjadwal","Jadwal malam 29 - Ust. Ruli Akbar"
"30","2026-03-19","19.30 WIB","11","699cdb7d-8996-47fd-8c03-b93d20d96238","Masjid Al-Ikhlas","terjadwal","Jadwal malam 30 - Ust. Ahmad Zuhdi"